SaveData[465], 0x043D,
SaveData[466], 0x043A,
SaveData[467], 0x043E,
SaveData[468], 0x043B,
SaveData[469], 0x043F,
SaveData[470], 0x043F,
SaveData[471], 0x043D,
SaveData[472], 0x043C,
SaveData[473], 0x043F,
SaveData[474], 0x043A,
SaveData[475], 0x0443,
SaveData[476], 0x0436,
SaveData[477], 0x043D,
SaveData[478], 0x043F,
SaveData[479], 0x043F,
SaveData[480], 0x043B,
SaveData[481], 0x043F,
SaveData[482], 0x043C,
SaveData[483], 0x043E,
SaveData[484], 0x0439,
SaveData[485], 0x043F,
SaveData[486], 0x043F,
SaveData[487], 0x043B,
SaveData[488], 0x043E,
SaveData[489], 0x043E,
SaveData[490], 0x043A,
SaveData[491], 0x0442,
SaveData[492], 0x0436,
SaveData[493], 0x0438,
SaveData[494], 0x043E,
SaveData[495], 0x043C,
SaveData[496], 0x0438,
SaveData[497], 0x043B,
SaveData[498], 0x0438,
SaveData[499], 0x043D,
SaveData[500], 0x0438,
SaveData[501], 0x043B,
SaveData[502], 0x043E,
SaveData[503], 0x043B,
SaveData[504], 0x043E,
SaveData[505], 0x043D,
SaveData[506], 0x043A,
SaveData[507], 0x0442,
SaveData[508], 0x0436,
SaveData[509], 0x043D,
SaveData[510], 0x043C,
SaveData[511], 0x043A,
SaveData[512], 0x0438,
SaveData[513], 0x043F,
SaveData[514], 0x043B,
SaveData[515], 0x0441,
SaveData[516], 0x0436,
SaveData[517], 0x043E,
SaveData[518], 0x043A,
SaveData[519], 0x043B,
SaveData[520], 0x043A,
SaveData[521], 0x0440,
SaveData[522], 0x0438,
SaveData[523], 0x0440,
SaveData[524], 0x0436,
SaveData[525], 0x043A,
SaveData[526], 0x043A,
SaveData[527], 0x043A,
SaveData[528], 0x0438,
SaveData[529], 0x0443,
SaveData[530], 0x043B,
SaveData[531], 0x043E,
SaveData[532], 0x0438,
SaveData[533], 0x043F,
SaveData[534], 0x043A,
SaveData[535], 0x043A,
SaveData[536], 0x043B,
SaveData[537], 0x0440,
SaveData[538], 0x043A,
SaveData[539], 0x043E,
SaveData[540], 0x0436,
SaveData[541], 0x043C,
SaveData[542], 0x043C,
SaveData[543], 0x043A,
SaveData[544], 0x0438,
SaveData[545], 0x043F,
SaveData[546], 0x043F,
SaveData[547], 0x043A,
SaveData[548], 0x043A,
SaveData[549], 0x043C,
SaveData[550], 0x043A,
SaveData[551], 0x043A,
SaveData[552], 0x043F,
SaveData[553], 0x043C,
SaveData[554], 0x0438,
SaveData[555], 0x043F,
SaveData[556], 0x0436,
SaveData[557], 0x043C,
SaveData[558], 0x043C,
SaveData[559], 0x043C,
SaveData[560], 0x043A,
SaveData[561], 0x043F,
SaveData[562], 0x043B,
SaveData[563], 0x0442,
SaveData[564], 0x0436,
SaveData[565], 0x043E,
SaveData[566], 0x043C,
SaveData[567], 0x043A,
SaveData[568], 0x043B,
SaveData[569], 0x043E,
SaveData[570], 0x0438,
SaveData[571], 0x043E,
SaveData[572], 0x0438,
SaveData[573], 0x043A,
SaveData[574], 0x043C,
SaveData[575], 0x043C,
SaveData[576], 0x043A,
SaveData[577], 0x043F,
SaveData[578], 0x043A,
SaveData[579], 0x043E,
SaveData[580], 0x0436,
SaveData[581], 0x043C,
SaveData[582], 0x043A,
SaveData[583], 0x043A,
SaveData[584], 0x043E,
SaveData[585], 0x043E,
SaveData[586], 0x043C,
SaveData[587], 0x0440,
SaveData[588], 0x0436,
SaveData[589], 0x043E,
SaveData[590], 0x043F,
SaveData[591], 0x043C,
SaveData[592], 0x0438,
SaveData[593], 0x043E,
SaveData[594], 0x043A,
SaveData[595], 0x043E,
SaveData[596], 0x0436,
SaveData[597], 0x043C,
SaveData[598], 0x043C,
SaveData[599], 0x043A,
SaveData[600], 0x043F,
SaveData[601], 0x043E,
SaveData[602], 0x043A,
SaveData[603], 0x043C,
SaveData[604], 0x0438,
SaveData[605], 0x043E,
SaveData[606], 0x043F,
SaveData[607], 0x043E,
SaveData[608], 0x043E,
SaveData[609], 0x043F,
SaveData[610], 0x043A,
SaveData[611], 0x043E,
SaveData[612], 0x0436,
SaveData[613], 0x043C,
SaveData[614], 0x043C,
SaveData[615], 0x043E,
SaveData[616], 0x043F,
SaveData[617], 0x043E,
SaveData[618], 0x043F,
SaveData[619], 0x0441,
SaveData[620], 0x0436,
SaveData[621], 0x043F,
SaveData[622], 0x043F,
SaveData[623], 0x043E,
SaveData[624], 0x0436,
SaveData[625], 0x043F,
SaveData[626], 0x043E,
SaveData[627], 0x043E,
SaveData[628], 0x0432,
SaveData[629], 0x043D,
SaveData[630], 0x043D,
SaveData[631], 0x043B,
SaveData[632], 0x043D,
SaveData[633], 0x043D,
SaveData[634], 0x043C,
SaveData[635], 0x0440,
SaveData[636], 0x0436,
SaveData[637], 0x043E,
SaveData[638], 0x043B,
SaveData[639], 0x043A,
SaveData[640], 0x043C,
SaveData[641], 0x043F,
SaveData[642], 0x043A,
SaveData[643], 0x043E,
SaveData[644], 0x0436,
SaveData[645], 0x0441,
SaveData[646], 0x0438,
SaveData[647], 0x043D,
SaveData[648], 0x043C,
SaveData[649], 0x043D,
SaveData[650], 0x043A,
SaveData[651], 0x043E,
SaveData[652], 0x0434,
SaveData[653], 0x043F,
SaveData[654], 0x043A,
SaveData[655], 0x043B,
SaveData[656], 0x043B,
SaveData[657], 0x043C,
SaveData[658], 0x043B,
SaveData[659], 0x043F,
SaveData[660], 0x0437,
SaveData[661], 0x043B,
SaveData[662], 0x0439,
SaveData[663], 0x043D,
SaveData[664], 0x043C,
SaveData[665], 0x043B,
SaveData[666], 0x043B,
SaveData[667], 0x043D,
SaveData[668], 0x0434,
SaveData[669], 0x043F,
SaveData[670], 0x043A,
SaveData[671], 0x043B,
SaveData[672], 0x043B,
SaveData[673], 0x043E,
SaveData[674], 0x0439,
SaveData[675], 0x043F,
SaveData[676], 0x0437,
SaveData[677], 0x043D,
SaveData[678], 0x043B,
SaveData[679], 0x043D,
SaveData[680], 0x043C,
SaveData[681], 0x043F,
SaveData[682], 0x043B,
SaveData[683], 0x0443,
SaveData[684], 0x0437,
SaveData[685], 0x043E,
SaveData[686], 0x043E,
SaveData[687], 0x043B,
SaveData[688], 0x043B,
SaveData[689], 0x043D,
SaveData[690], 0x0438,
SaveData[691], 0x043E,
SaveData[692], 0x0435,
SaveData[693], 0x043B,
SaveData[694], 0x043F,
SaveData[695], 0x043B,
SaveData[696], 0x043A,
SaveData[697], 0x043D,
SaveData[698], 0x043B,
SaveData[699], 0x0443,
SaveData[700], 0x0437,
SaveData[701], 0x043F,
SaveData[702], 0x043D,
SaveData[703], 0x043D,
SaveData[704], 0x043B,
SaveData[705], 0x043F,
SaveData[706], 0x0437,
SaveData[707], 0x0441,
SaveData[708], 0x0439,
SaveData[709], 0x043F,
SaveData[710], 0x043F,
SaveData[711], 0x043B,
SaveData[712], 0x043B,
SaveData[713], 0x0439,
SaveData[714], 0x043B,
SaveData[715], 0x043F,
SaveData[716], 0x0437,
SaveData[717], 0x043D,
SaveData[718], 0x043D,
SaveData[719], 0x043D,
SaveData[720], 0x0439,
SaveData[721], 0x043D,
SaveData[722], 0x0437,
SaveData[723], 0x043F,
SaveData[724], 0x043B,
SaveData[725], 0x043F,
SaveData[726], 0x043F,
SaveData[727], 0x043B,
SaveData[728], 0x043B,
SaveData[729], 0x0439,
SaveData[730], 0x0439,
SaveData[731], 0x0441,
SaveData[732], 0x0435,
SaveData[733], 0x043B,
SaveData[734], 0x043D,
SaveData[735], 0x0439,
SaveData[736], 0x0439,
SaveData[737], 0x043F,
SaveData[738], 0x043F,
SaveData[739], 0x043D,
SaveData[740], 0x0439,
SaveData[741], 0x043B,
SaveData[742], 0x043B,
SaveData[743], 0x043B,
SaveData[744], 0x043B,
SaveData[745], 0x043B,
SaveData[746], 0x0439,
SaveData[747], 0x043F,
SaveData[748], 0x0433,
SaveData[749], 0x043D,
SaveData[750], 0x043F,
SaveData[751], 0x043D,
SaveData[752], 0x0439,
