SaveData[382], 0x043C,
SaveData[383], 0x0441,
SaveData[384], 0x0441,
SaveData[385], 0x043B,
SaveData[386], 0x043D,
SaveData[387], 0x0441,
SaveData[388], 0x043F,
SaveData[389], 0x0440,
SaveData[390], 0x043A,
SaveData[391], 0x043E,
SaveData[392], 0x043F,
SaveData[393], 0x0440,
SaveData[394], 0x043D,
SaveData[395], 0x0445,
SaveData[396], 0x043F,
SaveData[397], 0x043F,
SaveData[398], 0x043A,
SaveData[399], 0x043C,
SaveData[400], 0x0442,
SaveData[401], 0x043D,
SaveData[402], 0x043D,
SaveData[403], 0x043F,
SaveData[404], 0x043C,
SaveData[405], 0x0444,
SaveData[406], 0x0439,
SaveData[407], 0x0441,
SaveData[408], 0x043C,
SaveData[409], 0x0440,
SaveData[410], 0x043F,
SaveData[411], 0x0442,
SaveData[412], 0x043F,
SaveData[413], 0x0440,
SaveData[414], 0x0439,
SaveData[415], 0x043F,
SaveData[416], 0x043D,
SaveData[417], 0x043E,
SaveData[418], 0x043C,
SaveData[419], 0x0441,
SaveData[420], 0x043E,
SaveData[421], 0x0442,
SaveData[422], 0x043C,
SaveData[423], 0x0440,
SaveData[424], 0x043C,
SaveData[425], 0x0440,
SaveData[426], 0x043F,
SaveData[427], 0x0442,
SaveData[428], 0x043F,
SaveData[429], 0x0440,
SaveData[430], 0x043A,
SaveData[431], 0x0440,
SaveData[432], 0x0440,
SaveData[433], 0x043B,
SaveData[434], 0x043D,
SaveData[435], 0x0440,
SaveData[436], 0x0440,
SaveData[437], 0x0442,
SaveData[438], 0x043C,
SaveData[439], 0x043E,
SaveData[440], 0x043E,
SaveData[441], 0x0440,
SaveData[442], 0x043E,
SaveData[443], 0x0440,
SaveData[444], 0x0440,
SaveData[445], 0x0440,
SaveData[446], 0x0438,
SaveData[447], 0x0442,
SaveData[448], 0x0440,
SaveData[449], 0x0440,
SaveData[450], 0x043B,
SaveData[451], 0x0440,
SaveData[452], 0x0440,
SaveData[453], 0x0442,
SaveData[454], 0x043A,
SaveData[455], 0x0440,
SaveData[456], 0x043E,
SaveData[457], 0x043E,
SaveData[458], 0x0440,
SaveData[459], 0x043E,
SaveData[460], 0x0440,
SaveData[461], 0x0444,
SaveData[462], 0x0436,
SaveData[463], 0x0442,
SaveData[464], 0x043F,
SaveData[465], 0x043C,
SaveData[466], 0x0440,
SaveData[467], 0x0440,
SaveData[468], 0x0440,
SaveData[469], 0x0444,
SaveData[470], 0x043A,
SaveData[471], 0x0440,
SaveData[472], 0x043C,
SaveData[473], 0x0440,
SaveData[474], 0x043E,
SaveData[475], 0x0440,
SaveData[476], 0x043E,
SaveData[477], 0x0442,
SaveData[478], 0x043A,
SaveData[479], 0x0440,
SaveData[480], 0x0440,
SaveData[481], 0x043E,
SaveData[482], 0x043E,
SaveData[483], 0x0440,
SaveData[484], 0x0440,
SaveData[485], 0x0446,
SaveData[486], 0x043C,
