SaveData[317], 0x0391,
SaveData[318], 0x0399,
SaveData[319], 0x0386,
SaveData[320], 0x03A2,
SaveData[321], 0x038A,
SaveData[322], 0x03A2,
SaveData[323], 0x0392,
SaveData[324], 0x03AB,
SaveData[325], 0x0395,
SaveData[326], 0x03AD,
SaveData[327], 0x0394,
SaveData[328], 0x03B2,
SaveData[329], 0x039A,
SaveData[330], 0x039A,
SaveData[331], 0x0395,
SaveData[332], 0x0387,
SaveData[333], 0x038D,
SaveData[334], 0x0394,
SaveData[335], 0x0391,
SaveData[336], 0x037B,
SaveData[337], 0x0398,
SaveData[338], 0x0385,
SaveData[339], 0x039D,
SaveData[340], 0x0389,
SaveData[341], 0x03A6,
SaveData[342], 0x038E,
SaveData[343], 0x039A,
SaveData[344], 0x0396,
SaveData[345], 0x03A5,
SaveData[346], 0x0396,
SaveData[347], 0x03A9,
SaveData[348], 0x0396,
SaveData[349], 0x03A4,
SaveData[350], 0x0395,
SaveData[351], 0x039E,
SaveData[352], 0x0397,
SaveData[353], 0x039A,
SaveData[354], 0x0392,
SaveData[355], 0x0390,
SaveData[356], 0x037D,
SaveData[357], 0x0387,
SaveData[358], 0x03A0,
SaveData[359], 0x038B,
SaveData[360], 0x03A0,
SaveData[361], 0x0383,
SaveData[362], 0x03AC,
SaveData[363], 0x038E,
SaveData[364], 0x03C4,
SaveData[365], 0x0392,
SaveData[366], 0x03AC,
SaveData[367], 0x0394,
SaveData[368], 0x03A4,
SaveData[369], 0x03A2,
SaveData[370], 0x03A4,
SaveData[371], 0x0392,
SaveData[372], 0x039A,
SaveData[373], 0x038D,
SaveData[374], 0x0392,
SaveData[375], 0x0395,
SaveData[376], 0x038C,
SaveData[377], 0x0376,
SaveData[378], 0x038A,
SaveData[379], 0x03A0,
SaveData[380], 0x0389,
SaveData[381], 0x03AC,
SaveData[382], 0x038C,
SaveData[383], 0x03B6,
SaveData[384], 0x0390,
SaveData[385], 0x03AC,
SaveData[386], 0x0394,
SaveData[387], 0x03A7,
SaveData[388], 0x039A,
SaveData[389], 0x03A2,
SaveData[390], 0x0394,
SaveData[391], 0x0396,
SaveData[392], 0x038E,
SaveData[393], 0x0398,
SaveData[394], 0x0391,
SaveData[395], 0x0390,
SaveData[396], 0x0392,
SaveData[397], 0x0386,
SaveData[398], 0x0384,
SaveData[399], 0x0388,
SaveData[400], 0x03A8,
SaveData[401], 0x0390,
SaveData[402], 0x03AE,
SaveData[403], 0x038E,
SaveData[404], 0x03B2,
SaveData[405], 0x0396,
SaveData[406], 0x03AE,
SaveData[407], 0x039C,
SaveData[408], 0x0396,
SaveData[409], 0x039C,
SaveData[410], 0x0392,
SaveData[411], 0x0396,
SaveData[412], 0x0376,
SaveData[413], 0x0392,
SaveData[414], 0x0392,
SaveData[415], 0x0393,
SaveData[416], 0x038C,
SaveData[417], 0x0394,
SaveData[418], 0x038C,
SaveData[419], 0x039E,
SaveData[420], 0x038C,
SaveData[421], 0x03A6,
SaveData[422], 0x0390,
SaveData[423], 0x03AC,
SaveData[424], 0x0392,
SaveData[425], 0x03AE,
SaveData[426], 0x0394,
SaveData[427], 0x03A0,
SaveData[428], 0x039C,
SaveData[429], 0x0394,
SaveData[430], 0x0396,
SaveData[431], 0x0394,
SaveData[432], 0x0392,
SaveData[433], 0x0394,
SaveData[434], 0x038E,
SaveData[435], 0x0392,
SaveData[436], 0x0394,
SaveData[437], 0x0380,
SaveData[438], 0x039A,
SaveData[439], 0x038E,
SaveData[440], 0x03A4,
SaveData[441], 0x038E,
SaveData[442], 0x03A8,
SaveData[443], 0x0390,
SaveData[444], 0x03AE,
SaveData[445], 0x0390,
SaveData[446], 0x03A8,
SaveData[447], 0x0396,
SaveData[448], 0x03A4,
SaveData[449], 0x039C,
SaveData[450], 0x03A2,
SaveData[451], 0x0394,
SaveData[452], 0x03A8,
SaveData[453], 0x0392,
SaveData[454], 0x038A,
SaveData[455], 0x0394,
SaveData[456], 0x038E,
SaveData[457], 0x0396,
SaveData[458], 0x038E,
SaveData[459], 0x039A,
SaveData[460], 0x038E,
SaveData[461], 0x03A2,
SaveData[462], 0x038C,
SaveData[463], 0x03AF,
SaveData[464], 0x0390,
SaveData[465], 0x03AE,
SaveData[466], 0x0394,
SaveData[467], 0x03AA,
SaveData[468], 0x039E,
SaveData[469], 0x0398,
SaveData[470], 0x0395,
SaveData[471], 0x0392,
SaveData[472], 0x0394,
SaveData[473], 0x036E,
SaveData[474], 0x0394,
SaveData[475], 0x0392,
SaveData[476], 0x0392,
SaveData[477], 0x037A,
SaveData[478], 0x0398,
SaveData[479], 0x038C,
SaveData[480], 0x039E,
SaveData[481], 0x038F,
SaveData[482], 0x03AA,
SaveData[483], 0x0390,
SaveData[484], 0x03B0,
SaveData[485], 0x0390,
SaveData[486], 0x03AC,
SaveData[487], 0x0392,
SaveData[488], 0x039A,
SaveData[489], 0x0396,
SaveData[490], 0x0388,
SaveData[491], 0x0395,
SaveData[492], 0x0394,
SaveData[493], 0x0394,
SaveData[494], 0x038A,
SaveData[495], 0x0392,
SaveData[496], 0x0384,
SaveData[497], 0x039A,
SaveData[498], 0x038D,
SaveData[499], 0x03A0,
SaveData[500], 0x038C,
SaveData[501], 0x03B4,
SaveData[502], 0x038E,
SaveData[503], 0x03B8,
SaveData[504], 0x0394,
SaveData[505], 0x03B5,
SaveData[506], 0x038E,
SaveData[507], 0x039D,
SaveData[508], 0x0399,
SaveData[509], 0x039F,
SaveData[510], 0x0392,
SaveData[511], 0x0398,
SaveData[512], 0x0395,
SaveData[513], 0x038E,
SaveData[514], 0x0391,
SaveData[515], 0x038E,
