SaveData[347], 0x0C58,
SaveData[348], 0x0C58,
SaveData[349], 0x0C58,
SaveData[350], 0x0C59,
SaveData[351], 0x0C5A,
SaveData[352], 0x0C57,
SaveData[353], 0x0C5A,
SaveData[354], 0x0C57,
SaveData[355], 0x0C59,
SaveData[356], 0x0C59,
SaveData[357], 0x0C57,
SaveData[358], 0x0C59,
SaveData[359], 0x0C5A,
SaveData[360], 0x0C57,
SaveData[361], 0x0C57,
SaveData[362], 0x0C5A,
SaveData[363], 0x0C58,
SaveData[364], 0x0C56,
SaveData[365], 0x0C57,
SaveData[366], 0x0C5A,
SaveData[367], 0x0C5A,
SaveData[368], 0x0C57,
SaveData[369], 0x0C59,
SaveData[370], 0x0C59,
SaveData[371], 0x0C58,
SaveData[372], 0x0C59,
SaveData[373], 0x0C58,
SaveData[374], 0x0C57,
SaveData[375], 0x0C5B,
SaveData[376], 0x0C57,
SaveData[377], 0x0C58,
SaveData[378], 0x0C59,
SaveData[379], 0x0C59,
SaveData[380], 0x0C5A,
SaveData[381], 0x0C57,
SaveData[382], 0x0C58,
SaveData[383], 0x0C59,
SaveData[384], 0x0C57,
SaveData[385], 0x0C58,
SaveData[386], 0x0C59,
SaveData[387], 0x0C59,
SaveData[388], 0x0C59,
SaveData[389], 0x0C55,
SaveData[390], 0x0C59,
SaveData[391], 0x0C5B,
SaveData[392], 0x0C56,
SaveData[393], 0x0C59,
SaveData[394], 0x0C59,
SaveData[395], 0x0C57,
SaveData[396], 0x0C59,
SaveData[397], 0x0C57,
SaveData[398], 0x0C59,
SaveData[399], 0x0C5A,
SaveData[400], 0x0C57,
SaveData[401], 0x0C5A,
SaveData[402], 0x0C57,
SaveData[403], 0x0C5A,
SaveData[404], 0x0C56,
SaveData[405], 0x0C56,
SaveData[406], 0x0C58,
SaveData[407], 0x0C59,
SaveData[408], 0x0C56,
SaveData[409], 0x0C59,
SaveData[410], 0x0C58,
SaveData[411], 0x0C57,
SaveData[412], 0x0C59,
SaveData[413], 0x0C57,
SaveData[414], 0x0C57,
SaveData[415], 0x0C5A,
SaveData[416], 0x0C57,
SaveData[417], 0x0C5A,
SaveData[418], 0x0C59,
SaveData[419], 0x0C59,
SaveData[420], 0x0C58,
SaveData[421], 0x0C57,
SaveData[422], 0x0C58,
SaveData[423], 0x0C5A,
SaveData[424], 0x0C57,
SaveData[425], 0x0C59,
SaveData[426], 0x0C58,
SaveData[427], 0x0C59,
SaveData[428], 0x0C5B,
SaveData[429], 0x0C56,
SaveData[430], 0x0C57,
SaveData[431], 0x0C5A,
SaveData[432], 0x0C56,
SaveData[433], 0x0C5A,
SaveData[434], 0x0C58,
SaveData[435], 0x0C59,
SaveData[436], 0x0C59,
SaveData[437], 0x0C58,
SaveData[438], 0x0C59,
SaveData[439], 0x0C59,
SaveData[440], 0x0C59,
SaveData[441], 0x0C59,
SaveData[442], 0x0C57,
SaveData[443], 0x0C58,
SaveData[444], 0x0C5A,
SaveData[445], 0x0C56,
SaveData[446], 0x0C58,
SaveData[447], 0x0C5A,
SaveData[448], 0x0C57,
SaveData[449], 0x0C58,
SaveData[450], 0x0C57,
SaveData[451], 0x0C59,
SaveData[452], 0x0C5A,
SaveData[453], 0x0C55,
SaveData[454], 0x0C58,
SaveData[455], 0x0C59,
SaveData[456], 0x0C59,
SaveData[457], 0x0C59,
SaveData[458], 0x0C58,
SaveData[459], 0x0C59,
