SaveData[472], 0x0C6B,
SaveData[473], 0x0C6B,
SaveData[474], 0x0C6B,
SaveData[475], 0x0C6D,
SaveData[476], 0x0C69,
SaveData[477], 0x0C6B,
SaveData[478], 0x0C6B,
SaveData[479], 0x0C6A,
SaveData[480], 0x0C6A,
SaveData[481], 0x0C6C,
SaveData[482], 0x0C69,
SaveData[483], 0x0C6C,
SaveData[484], 0x0C6A,
SaveData[485], 0x0C6B,
SaveData[486], 0x0C6B,
SaveData[487], 0x0C6B,
SaveData[488], 0x0C6B,
SaveData[489], 0x0C6C,
SaveData[490], 0x0C6B,
SaveData[491], 0x0C6D,
SaveData[492], 0x0C69,
SaveData[493], 0x0C6C,
SaveData[494], 0x0C6B,
SaveData[495], 0x0C6A,
SaveData[496], 0x0C6B,
SaveData[497], 0x0C6D,
SaveData[498], 0x0C6C,
SaveData[499], 0x0C6D,
SaveData[500], 0x0C6A,
SaveData[501], 0x0C6B,
SaveData[502], 0x0C6C,
SaveData[503], 0x0C6B,
SaveData[504], 0x0C6B,
SaveData[505], 0x0C6C,
SaveData[506], 0x0C6C,
SaveData[507], 0x0C6C,
SaveData[508], 0x0C68,
SaveData[509], 0x0C6C,
SaveData[510], 0x0C6B,
SaveData[511], 0x0C68,
SaveData[512], 0x0C6A,
SaveData[513], 0x0C6B,
SaveData[514], 0x0C6A,
SaveData[515], 0x0C6C,
SaveData[516], 0x0C69,
SaveData[517], 0x0C6B,
SaveData[518], 0x0C6C,
SaveData[519], 0x0C6B,
SaveData[520], 0x0C6B,
SaveData[521], 0x0C6A,
SaveData[522], 0x0C6B,
SaveData[523], 0x0C6C,
SaveData[524], 0x0C69,
SaveData[525], 0x0C6D,
SaveData[526], 0x0C6B,
SaveData[527], 0x0C6B,
SaveData[528], 0x0C6B,
SaveData[529], 0x0C6B,
SaveData[530], 0x0C69,
SaveData[531], 0x0C6C,
SaveData[532], 0x0C6A,
SaveData[533], 0x0C6B,
SaveData[534], 0x0C6C,
SaveData[535], 0x0C6B,
SaveData[536], 0x0C6B,
SaveData[537], 0x0C6B,
SaveData[538], 0x0C6A,
SaveData[539], 0x0C6D,
SaveData[540], 0x0C69,
SaveData[541], 0x0C6C,
SaveData[542], 0x0C6C,
SaveData[543], 0x0C6B,
SaveData[544], 0x0C6C,
SaveData[545], 0x0C6B,
SaveData[546], 0x0C6A,
SaveData[547], 0x0C6E,
SaveData[548], 0x0C69,
SaveData[549], 0x0C6C,
SaveData[550], 0x0C6B,
SaveData[551], 0x0C6A,
SaveData[552], 0x0C6B,
SaveData[553], 0x0C6B,
SaveData[554], 0x0C6B,
SaveData[555], 0x0C6E,
SaveData[556], 0x0C69,
SaveData[557], 0x0C6C,
SaveData[558], 0x0C6B,
SaveData[559], 0x0C6B,
SaveData[560], 0x0C6B,
SaveData[561], 0x0C6C,
SaveData[562], 0x0C6A,
SaveData[563], 0x0C6E,
SaveData[564], 0x0C6A,
SaveData[565], 0x0C6B,
SaveData[566], 0x0C6B,
SaveData[567], 0x0C6A,
SaveData[568], 0x0C6C,
SaveData[569], 0x0C6B,
SaveData[570], 0x0C6B,
SaveData[571], 0x0C6C,
SaveData[572], 0x0C69,
SaveData[573], 0x0C6D,
SaveData[574], 0x0C6B,
SaveData[575], 0x0C6A,
SaveData[576], 0x0C6C,
SaveData[577], 0x0C6C,
SaveData[578], 0x0C6B,
SaveData[579], 0x0C6E,
SaveData[580], 0x0C6B,
SaveData[581], 0x0C6C,
SaveData[582], 0x0C6B,
SaveData[583], 0x0C6C,
SaveData[584], 0x0C6C,
SaveData[585], 0x0C6B,
SaveData[586], 0x0C6C,
SaveData[587], 0x0C6D,
SaveData[588], 0x0C69,
SaveData[589], 0x0C6D,
SaveData[590], 0x0C6A,
SaveData[591], 0x0C6B,
SaveData[592], 0x0C6B,
SaveData[593], 0x0C6C,
SaveData[594], 0x0C6C,
SaveData[595], 0x0C6E,
SaveData[596], 0x0C6A,
SaveData[597], 0x0C6C,
SaveData[598], 0x0C6B,
SaveData[599], 0x0C6B,
SaveData[600], 0x0C6D,
SaveData[601], 0x0C6B,
SaveData[602], 0x0C6B,
SaveData[603], 0x0C6D,
SaveData[604], 0x0C66,
SaveData[605], 0x0C6C,
SaveData[606], 0x0C6B,
SaveData[607], 0x0C6C,
SaveData[608], 0x0C6B,
SaveData[609], 0x0C6B,
SaveData[610], 0x0C6A,
SaveData[611], 0x0C6E,
SaveData[612], 0x0C6A,
