SaveData[607], 0x0C7F,
SaveData[608], 0x0C7D,
SaveData[609], 0x0C7F,
SaveData[610], 0x0C7C,
SaveData[611], 0x0C7D,
SaveData[612], 0x0C7A,
SaveData[613], 0x0C80,
SaveData[614], 0x0C7D,
SaveData[615], 0x0C7D,
SaveData[616], 0x0C7D,
SaveData[617], 0x0C7E,
SaveData[618], 0x0C7C,
SaveData[619], 0x0C7D,
SaveData[620], 0x0C7E,
SaveData[621], 0x0C80,
SaveData[622], 0x0C7C,
SaveData[623], 0x0C7F,
SaveData[624], 0x0C7B,
SaveData[625], 0x0C7C,
SaveData[626], 0x0C7D,
SaveData[627], 0x0C7D,
SaveData[628], 0x0C7C,
SaveData[629], 0x0C7F,
SaveData[630], 0x0C7C,
SaveData[631], 0x0C7E,
SaveData[632], 0x0C7C,
SaveData[633], 0x0C7F,
SaveData[634], 0x0C7D,
SaveData[635], 0x0C7D,
SaveData[636], 0x0C7E,
SaveData[637], 0x0C7F,
SaveData[638], 0x0C7D,
SaveData[639], 0x0C7E,
SaveData[640], 0x0C7C,
SaveData[641], 0x0C7F,
SaveData[642], 0x0C7E,
SaveData[643], 0x0C7C,
SaveData[644], 0x0C7C,
SaveData[645], 0x0C7F,
SaveData[646], 0x0C7B,
SaveData[647], 0x0C7E,
SaveData[648], 0x0C7B,
SaveData[649], 0x0C7D,
SaveData[650], 0x0C7D,
SaveData[651], 0x0C7D,
SaveData[652], 0x0C7D,
SaveData[653], 0x0C7E,
SaveData[654], 0x0C7C,
SaveData[655], 0x0C7E,
SaveData[656], 0x0C7A,
SaveData[657], 0x0C7F,
SaveData[658], 0x0C7D,
SaveData[659], 0x0C7C,
SaveData[660], 0x0C7D,
SaveData[661], 0x0C7E,
SaveData[662], 0x0C7B,
SaveData[663], 0x0C7F,
SaveData[664], 0x0C7B,
SaveData[665], 0x0C7D,
SaveData[666], 0x0C7E,
SaveData[667], 0x0C7D,
SaveData[668], 0x0C7C,
SaveData[669], 0x0C7F,
SaveData[670], 0x0C7D,
SaveData[671], 0x0C7D,
SaveData[672], 0x0C7B,
SaveData[673], 0x0C7F,
SaveData[674], 0x0C7C,
SaveData[675], 0x0C7D,
SaveData[676], 0x0C7C,
SaveData[677], 0x0C7E,
SaveData[678], 0x0C7A,
SaveData[679], 0x0C7C,
SaveData[680], 0x0C7A,
SaveData[681], 0x0C7E,
SaveData[682], 0x0C7D,
SaveData[683], 0x0C7D,
SaveData[684], 0x0C7D,
SaveData[685], 0x0C7E,
SaveData[686], 0x0C7C,
SaveData[687], 0x0C7D,
SaveData[688], 0x0C7A,
SaveData[689], 0x0C7F,
SaveData[690], 0x0C7D,
SaveData[691], 0x0C7D,
SaveData[692], 0x0C7D,
SaveData[693], 0x0C7D,
SaveData[694], 0x0C7C,
SaveData[695], 0x0C80,
SaveData[696], 0x0C7A,
SaveData[697], 0x0C7E,
SaveData[698], 0x0C7C,
SaveData[699], 0x0C7C,
SaveData[700], 0x0C7D,
SaveData[701], 0x0C7D,
SaveData[702], 0x0C7C,
SaveData[703], 0x0C7F,
SaveData[704], 0x0C7B,
SaveData[705], 0x0C80,
SaveData[706], 0x0C7C,
SaveData[707], 0x0C7E,
SaveData[708], 0x0C7D,
SaveData[709], 0x0C7D,
SaveData[710], 0x0C7D,
SaveData[711], 0x0C7F,
SaveData[712], 0x0C7C,
SaveData[713], 0x0C7E,
SaveData[714], 0x0C7D,
SaveData[715], 0x0C7E,
SaveData[716], 0x0C7D,
SaveData[717], 0x0C7D,
SaveData[718], 0x0C7C,
SaveData[719], 0x0C7E,
SaveData[720], 0x0C7C,
SaveData[721], 0x0C7F,
SaveData[722], 0x0C7C,
SaveData[723], 0x0C7F,
SaveData[724], 0x0C7D,
SaveData[725], 0x0C7C,
SaveData[726], 0x0C7D,
SaveData[727], 0x0C7F,
SaveData[728], 0x0C7C,
SaveData[729], 0x0C7F,
SaveData[730], 0x0C7B,
SaveData[731], 0x0C7D,
SaveData[732], 0x0C7C,
SaveData[733], 0x0C7D,
SaveData[734], 0x0C7C,
SaveData[735], 0x0C80,
SaveData[736], 0x0C7B,
SaveData[737], 0x0C7C,
SaveData[738], 0x0C7D,
SaveData[739], 0x0C7D,
SaveData[740], 0x0C7C,
SaveData[741], 0x0C7C,
SaveData[742], 0x0C7D,
SaveData[743], 0x0C7E,
SaveData[744], 0x0C7B,
SaveData[745], 0x0C7F,
